dist_market;dist_hospital;builtup_area;house_price
20945;23294;12730;15000000
8269;10928;2667;874100
9796;13278;2647;659000
10344;11682;2617;670800
5955;13648;2493;514800
14823;12817;2492;702300
6678;9320;2474;803400
12621;15693;2465;635100
6062;7649;2436;779600
11627;16141;2420;856700
9560;12531;2414;1163200
9174;16617;2408;820200
11172;13742;2400;512400
6438;10118;2397;658900
9103;10753;2396;715700
8622;12611;2396;470600
10134;13615;2394;791800
7326;9085;2391;461000
6375;9920;2390;501300
9719;9695;2385;508100
11537;10992;2384;646900
11916;16620;2378;458200
4402;8614;2374;895400
7861;10544;2374;485900
5870;10523;2368;868300
7116;12276;2364;308100
12708;15442;2362;599500
13014;14525;2349;529900
7143;12384;2343;846900
7579;7376;2342;972600
14276;13109;2342;865600
8085;9837;2340;401900
12150;13475;2339;709300
9811;11385;2338;447300
14955;13427;2333;797800
10006;10402;2333;406700
14768;15998;2311;792100
7010;9201;2310;663000
15026;15586;2306;319400
12206;14664;2305;771200
7129;5913;2304;795000
10763;12082;2300;491700
9455;10950;2294;655800
9271;12352;2290;804100
13805;16769;2287;468300
5976;9051;2284;780200
8292;13595;2280;823500
10530;16409;2280;515600
14387;9654;2278;762400
12943;14131;2277;558800
12093;13164;2264;620500
11023;13672;2264;542000
10244;11170;2262;620500
8331;12309;2262;569100
8114;11026;2262;490800
6740;8531;2262;422400
11521;14161;2254;704000
8409;12131;2254;599700
10159;11554;2254;216500
10899;13447;2252;793100
11728;11932;2248;560100
8125;10064;2248;519100
10148;13301;2247;519500
12431;12349;2246;797800
9404;13234;2245;772600
8985;13875;2244;660300
7786;9520;2241;611500
11465;16488;2240;670000
15553;22407;2236;674200
15076;16590;2235;609600
8165;12202;2233;431900
2654;8735;2230;768800
10573;9796;2230;454600
10229;13380;2228;403500
11281;14879;2227;682300
11688;12853;2222;870000
8496;14431;2220;508400
14047;13272;2216;648200
12011;16938;2215;887600
13158;15062;2214;850000
7313;10302;2208;467600
12290;14032;2205;540300
7539;12454;2205;362900
17101;16192;2204;551700
9682;13179;2204;513200
13667;12454;2197;804900
10978;16079;2195;451600
12161;16663;2195;410900
15127;14763;2189;780900
10098;9241;2187;765300
12911;16307;2187;479200
15807;18595;2186;751200
11981;14868;2185;873300
10639;14020;2184;944600
10793;11170;2176;378100
11024;16005;2175;922400
13280;11351;2174;900700
9367;15170;2173;362800
16967;11221;2171;611800
14084;16646;2167;643200
7876;11215;2163;745600
9538;10227;2160;497200
11072;14919;2160;361600
12781;14850;2158;982600
8829;12505;2158;415400
16736;17999;2157;568100
11103;9602;2154;352200
11886;15799;2153;695600
12977;14868;2149;381200
13322;15167;2148;699400
11166;11986;2148;329700
13472;15427;2147;636600
18281;18532;2147;627100
11440;9163;2146;485400
10606;10603;2145;807900
10345;8646;2145;365300
9749;13443;2145;334600
10242;10270;2142;640100
12641;14060;2138;578200
10668;16002;2138;499800
9440;10672;2137;809700
7922;9846;2137;676100
8907;11449;2134;720500
10441;12905;2133;545900
9038;10210;2133;459500
11640;12725;2132;408400
9102;12608;2131;764200
6700;11772;2131;586700
12503;15166;2131;546500
6922;10746;2126;557100
8355;13586;2123;495900
12020;17056;2121;784300
14147;12642;2117;397300
9503;13179;2117;382800
11966;17546;2115;673600
14385;15540;2112;966500
9188;12475;2111;946900
14071;17512;2111;524000
12629;13921;2111;466200
11347;8760;2110;649500
10233;16692;2109;579100
13349;16226;2109;501300
10054;15182;2108;469200
13460;9901;2104;1051500
11538;14767;2104;707700
12087;17686;2101;695700
11526;9346;2101;663900
11149;12936;2098;576200
13268;14922;2097;561700
12966;15635;2095;341900
8270;10242;2092;491700
10163;10715;2087;665100
6690;6422;2086;537600
12241;14575;2084;564400
11465;14967;2078;736100
12730;15159;2078;507800
8734;9830;2076;763000
8178;12804;2073;700500
11137;9470;2073;394600
14813;14125;2072;884100
10181;15112;2072;696100
13372;15845;2071;848600
14446;14609;2071;404900
9740;12485;2070;538700
9530;11594;2065;564800
14161;15076;2065;527800
11995;12883;2065;514200
12879;13776;2065;306100
9699;11425;2064;703100
9130;14684;2064;604700
9371;7845;2061;819300
15033;14775;2060;662100
11719;14343;2058;517600
12850;12287;2056;836000
11673;16036;2055;378300
12290;14599;2053;818700
14692;17517;2053;693900
8857;14642;2053;646700
9050;7517;2052;691300
9882;10482;2051;492100
12039;13144;2048;785300
14228;14778;2046;535500
11974;11433;2046;311800
6617;10052;2045;713000
11519;13441;2045;381700
10455;13125;2044;386600
14151;14705;2044;322600
13267;9687;2042;730800
10816;13429;2042;332400
11665;12694;2038;444000
6753;9959;2037;509600
12104;11007;2034;621800
7195;9468;2032;483000
7138;9401;2032;419100
15701;14982;2031;693100
12656;14583;2030;601400
8507;12364;2026;605300
14264;15354;2024;759300
7836;9240;2024;631000
6455;7672;2023;602700
11229;12737;2022;660500
1544;12906;2022;558900
7402;10629;2020;660700
8786;12052;2019;566500
10396;15870;2017;817200
9885;11064;2017;493900
12402;11559;2016;591300
12005;13976;2015;792200
7220;12065;2014;608000
9029;8292;2010;623800
8278;11349;2009;581600
9765;13321;2008;843000
13414;13617;2008;351200
11359;12764;2003;829300
13264;16608;2003;585400
13331;13748;2003;327500
7752;11406;2002;649900
12199;14275;2001;676400
13572;12349;2000;397300
8691;10953;2000;362100
11673;13345;1999;930000
11917;14754;1999;656600
16042;16071;1999;466500
12607;11282;1993;868900
5591;10198;1993;428400
16298;15585;1988;715300
11551;12839;1986;774300
12273;14157;1986;637300
11300;10885;1985;428600
10124;14776;1982;794100
11620;13693;1982;625300
13235;13935;1982;524600
13284;13775;1981;544500
10717;12286;1979;758000
6892;13197;1976;460500
11622;14879;1973;446600
14185;15235;1972;609400
11639;14374;1968;814700
14340;17721;1968;696100
13649;15717;1968;647800
7928;12000;1967;696000
14517;18178;1963;473000
12140;14999;1963;274100
14728;14223;1962;700200
11932;12292;1962;362800
5250;10703;1961;664900
17958;19046;1959;770800
8307;13508;1959;714800
13153;13797;1958;933600
10610;13222;1958;638500
10041;13369;1958;599400
11622;15214;1957;455800
13622;15501;1956;820700
10387;11876;1956;473500
11489;12600;1954;410800
17552;19014;1952;818400
14789;12812;1950;788700
11982;13297;1948;512700
11923;12361;1948;326100
11711;15247;1947;844100
12586;14979;1947;743300
12579;16088;1946;780900
9426;11457;1946;738000
10768;11787;1946;202700
8577;9947;1945;378300
10531;12005;1944;759700
13852;17989;1943;781000
10333;13997;1943;745200
10843;14663;1943;476200
9133;13657;1943;403000
9831;13403;1941;580900
6338;11916;1941;334300
11558;16360;1940;442400
9365;13101;1939;797600
13011;11082;1939;742500
11953;15162;1938;532300
11997;16321;1937;709400
12277;10937;1936;460500
11050;12306;1933;812600
12323;16823;1931;600600
10853;13054;1931;591300
8092;12626;1930;764700
9304;14033;1928;650800
7297;9569;1928;379200
12930;12703;1927;450800
9162;10429;1925;543700
10858;11683;1924;630500
7432;14294;1922;337400
13050;12267;1921;728000
13363;17040;1920;610000
9765;9859;1920;537500
10173;13574;1919;712400
10158;11935;1919;523400
9913;14103;1918;718300
12601;13089;1918;610000
10286;13820;1916;507400
8473;11978;1912;653500
11682;13425;1911;433400
8518;15673;1910;663900
8933;8231;1909;390300
12932;13163;1909;337300
13102;13076;1907;772500
13003;12926;1907;218300
12451;17711;1906;926400
5325;6808;1906;469700
9917;10173;1905;622800
11812;14629;1902;731200
12937;12438;1902;540600
9645;14012;1901;607700
8730;11209;1899;662700
15169;13058;1899;411900
11247;10787;1898;640900
10973;13016;1897;473100
6004;10759;1896;781300
13093;12841;1896;564500
7881;11860;1895;549500
11347;13218;1894;493800
14224;12767;1894;418000
12550;11734;1893;460300
10953;14331;1892;747300
7778;11048;1892;577500
6321;13077;1889;602900
9041;13899;1889;564000
10755;15681;1888;671100
13102;13706;1886;500600
13767;13081;1885;688500
1342;10643;1885;670700
14567;13985;1884;426700
10754;13529;1883;832200
14513;15360;1881;913600
9926;12712;1881;545300
7505;13552;1880;578300
7083;10051;1879;867100
10679;11618;1878;237400
10230;13308;1877;567900
8521;13216;1877;546700
11723;14084;1877;176700
10247;13668;1876;562300
14406;15231;1872;684200
12872;9786;1872;522700
11896;12512;1871;743200
8874;9142;1871;740800
10848;14405;1869;788700
11193;13279;1869;533700
10094;12564;1869;330100
12035;10170;1869;217500
10003;14751;1861;699400
10530;14692;1860;731600
7295;13189;1858;994800
12701;16615;1858;889100
12045;14243;1858;883700
9976;9312;1858;762000
11869;17811;1858;722400
8958;14087;1857;582600
11816;14994;1855;853300
13503;16890;1854;1009000
12932;14681;1853;490700
7638;13712;1852;481200
17486;15964;1851;706200
11814;18307;1848;694500
8028;14703;1848;564400
10462;12246;1848;471400
8541;13083;1847;647900
6455;7925;1846;780800
13470;12541;1846;720200
6653;10474;1845;617500
10580;14360;1845;590700
15178;18836;1844;513800
11760;12555;1844;385300
10120;14193;1843;598200
11233;13642;1842;395800
8114;11272;1841;879300
12666;14844;1840;363800
